commune,vote_yes,vote_no,turnout_perc,canton,canton_name,bfsnr,n_taxed,mean_income,median_income,gini-coeff,percent_yes
Mulegns,1,9,37.04,GR,Graubünden / Grigioni / Grisch,3534,16,37570.1388888889,30422.2222222222,0.305459926803571,0.1
Urmein,8,60,60.18,GR,Graubünden / Grigioni / Grisch,3670,99,39120.3340627317,34500,0.469203349047816,0.117647058823529
Autafond,5,31,67.92,FR,Fribourg / Freiburg,2172,37,39946.1433961434,38600,0.373338529440946,0.138888888888889
Greng,12,72,66.67,FR,Fribourg / Freiburg,2261,112,115748.885790962,67188.8888888889,0.589051429286647,0.142857142857143
Flims,134,801,52.49,GR,Graubünden / Grigioni / Grisch,3732,2273,39006.9615609775,29300,0.513209648462526,0.14331550802139
Splügen,25,144,54.23,GR,Graubünden / Grigioni / Grisch,3694,304,32658.5871730609,31733.3333333333,0.416189906060502,0.14792899408284
Wollerau,446,2493,63.6,SZ,Schwyz,1323,4392,220155.610435751,61600,0.765555128113001,0.151752296699558
Walchwil,199,1112,64.3,ZG,Zug,1710,2113,122249.718902387,55800,0.670240579635001,0.151792524790236
Feusisberg,281,1563,59.8,SZ,Schwyz,1321,3073,204680.742664626,59800,0.762150871437984,0.152386117136659
Zumikon,341,1883,67.84,ZH,Zürich,160,3071,109130.82130059,59200,0.614417100419944,0.153327338129496
Silvaplana,40,218,44.84,GR,Graubünden / Grigioni / Grisch,3790,1279,40341.3083081343,17533.3333333333,0.585505507935415,0.155038759689922
Uitikon,308,1561,68.59,ZH,Zürich,248,2327,102571.017619071,68600,0.534632403153596,0.164794007490637
St. Martin,2,10,41.38,GR,Graubünden / Grigioni / Grisch,3598,26,23442.1374565605,23450,0.33583340227696,0.166666666666667
Sufers,11,55,63.46,GR,Graubünden / Grigioni / Grisch,3695,73,38142.8517068928,34866.6666666667,0.369899785363952,0.166666666666667
Hüttikon,50,248,60.12,ZH,Zürich,87,413,60396.1674171563,53200,0.378307568245168,0.167785234899329
Falera,45,220,59.78,GR,Graubünden / Grigioni / Grisch,3572,553,32335.6679495682,18000,0.527011860685229,0.169811320754717
Herrliberg,460,2247,66.58,ZH,Zürich,152,3683,103342.546341191,61666.6666666667,0.594117929583083,0.169929811599557
Dully,28,136,63.16,VD,Vaud,5855,325,102565.909870007,58111.1111111111,0.609192997743828,0.170731707317073
Signy-Avenex,30,145,65.2,VD,Vaud,5728,283,62010.8362019372,53461.5384615385,0.427326588959071,0.171428571428571
Lantsch/Lenz,28,134,43.65,GR,Graubünden / Grigioni / Grisch,3513,438,33134.5646141023,29683.3333333333,0.443073717359913,0.172839506172839
Rumendingen,7,33,56.94,BE,Bern / Berne,421,55,36911.5723165723,38769.2307692308,0.307215976703988,0.175
Hinterrhein,6,28,66.67,GR,Graubünden / Grigioni / Grisch,3691,33,32864.3658810325,28375,0.304473782481716,0.176470588235294
Mutten,6,28,57.63,GR,Graubünden / Grigioni / Grisch,3503,44,32424.3776326013,30557.6923076923,0.392282921148143,0.176470588235294
Ferrera,8,37,66.18,GR,Graubünden / Grigioni / Grisch,3713,53,39971.8294284332,40300,0.312428499720083,0.177777777777778
Bauen,13,59,52.1,UR,Uri,1204,114,48728.6537658248,41050,0.410509239045311,0.180555555555556
Neerach,251,1138,62.17,ZH,Zürich,88,1924,75719.1546867028,61833.3333333333,0.431602581661163,0.180705543556515
Mörigen,80,360,64.3,BE,Bern / Berne,742,548,58161.4050322872,47316.6666666667,0.468372872570473,0.181818181818182
Oberrohrdorf,303,1340,60.32,AG,Aargau,4037,2402,58922.9837216838,51600,0.388869431709903,0.184418746195983
Collombey-Muraz,441,1932,52.58,VS,Valais / Wallis,6152,4839,38782.6336723262,37857.1428571429,0.399424925849153,0.185840707964602
Uesslingen-Buch,74,323,49.6,TG,Thurgau,4616,660,48663.1151702424,42800,0.362578469338489,0.18639798488665
Eich,143,623,59.66,LU,Luzern,1084,1035,65038.8147468779,52500,0.427253902854529,0.18668407310705
Rougemont,45,192,48.68,VD,Vaud,5843,777,49806.5101704199,29900,0.584674919106425,0.189873417721519
Laax,102,433,51.57,GR,Graubünden / Grigioni / Grisch,3575,1722,34653.1357084944,19504.7619047619,0.514191052615347,0.190654205607477
