"Volksabstimmungen (Ergebnisse Ebene Gemeinde seit 1981)"

"Kanton (-) / Bezirk (>>) / Gemeinde (......)";"Datum und Vorlage";"Stimmberechtigte";"Abgegebene Stimmen";"Beteiligung in %";"Gültige Stimmzettel";"Ja";"Nein";"Ja in %"
"Schweiz";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";5204062;2791082;53.6;2751717;954787;1796930;34.7
"- Zürich";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";890934;483782;54.3;479559;157535;322024;32.8
">> Bezirk Affoltern";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";33478;19851;59.3;19703;5943;13760;30.2
"......Aeugst am Albis";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1375;839;61.0;833;229;604;27.5
"......Affoltern am Albis";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";6962;3690;53.0;3654;1189;2465;32.5
"......Bonstetten";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3582;2225;62.1;2205;702;1503;31.8
"......Hausen am Albis";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2395;1443;60.3;1433;491;942;34.3
"......Hedingen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2440;1556;63.8;1541;484;1057;31.4
"......Kappel am Albis";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";659;400;60.7;397;107;290;27.0
"......Knonau";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1340;782;58.4;775;250;525;32.3
"......Maschwanden";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";468;251;53.6;248;95;153;38.3
"......Mettmenstetten";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3074;1825;59.4;1816;507;1309;27.9
"......Obfelden";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3170;1777;56.1;1770;521;1249;29.4
"......Ottenbach";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1816;1142;62.9;1132;373;759;33.0
"......Rifferswil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";702;455;64.8;451;167;284;37.0
"......Stallikon";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2247;1385;61.6;1374;374;1000;27.2
