Eidgenössische Abstimmung vom 24.11.2013: Volksinitiative "1:12 – für gerechte Löhne"

Gemeinde 	Gemeinde-Nr  	Stimmberechtigte 	davon Männer 	davon Frauen 	davon Auslandschweizer 	eingelegte Stimmzettel 	Briefliche Stimmabgaben 	leere Stimmzettel 	ungueltige Stimmzettel 	gueltige Stimmzettel 	JA-Stimmen 	NEIN-Stimmen 	Stimmbeteiligung 	Anzahl Gemeinden 	Zeit 
Almens	3631	167			1	72	0	0	0	72	19	53	43.11%	
Alvaneu	3511	313			3	150	0	5	0	145	44	101	47.92%	
Alvaschein	3501	114			1	62	0	0	0	62	27	35	54.39%	
Andeer	3701	649			11	322	0	1	5	316	96	220	49.61%	
Andiast	3611	173			7	64	0	1	1	62	26	36	36.99%	
Ardez	3741	327			14	128	0	1	2	125	59	66	39.14%	
Arosa	3921	2248			61	1162	0	11	13	1138	303	835	51.69%	
Arvigo	3801	85			32	41	0	3	0	38	13	25	48.24%	
Avers	3681	139			10	81	0	0	0	81	27	54	58.27%	
Bergün/Bravuogn	3521	340			13	178	0	1	0	177	62	115	52.35%	
Bever	3781	458			4	257	0	1	0	256	83	173	56.11%	
Bivio	3531	135			1	66	0	0	0	66	28	38	48.89%	
Bonaduz	3721	2117			24	1097	0	5	14	1078	278	800	51.82%	
Braggio	3803	48			6	20	0	0	1	19	12	7	41.67%	
Bregaglia	3792	1211			57	622	0	5	9	608	171	437	51.36%	
Breil/Brigels	3981	1004			21	488	0	6	0	482	139	343	48.61%	
Brienz/Brinzauls	3512	95			1	34	0	0	0	34	12	22	35.79%	
Brusio	3551	907			61	383	0	3	0	380	147	233	42.23%	
Buseno	3804	77			0	40	0	0	0	40	14	26	51.95%	
Cama	3831	368			0	158	0	11	3	144	76	68	42.93%	
Castaneda	3805	208			24	124	0	2	1	121	62	59	59.62%	
Casti-Wergenstein	3703	39			0	25	0	0	0	25	7	18	64.10%	
Castrisch	3571	319			4	148	0	4	0	144	59	85	46.39%	
Cauco	3806	28			0	11	0	0	0	11	5	6	39.29%	
Cazis	3661	1506			47	634	0	4	3	627	225	402	42.10%	
Celerina/Schlarigna	3782	843			47	435	0	4	0	431	94	337	51.60%	
Chur	3901	24231			309	12127	0	61	250	11816	3883	7933	50.05%	
Churwalden	3911	1385			33	682	0	4	15	663	203	460	49.24%	
Conters i.P.	3881	168			0	77	0	2	0	75	34	41	45.83%	
Cunter	3532	154			7	77	0	0	0	77	22	55	50.00%	
Davos	3851	7125			201	3636	0	34	34	3568	1016	2552	51.03%	
Disentis/Mustér	3982	1582			29	869	0	9	4	856	244	612	54.93%	
Domat/Ems	3722	4715			73	2497	0	21	14	2462	699	1763	52.96%	
Donat	3705	166			4	80	0	0	2	78	26	52	48.19%	
Duvin	3593	62			3	26	0	0	0	26	4	22	41.94%	
Falera	3572	445			9	266	0	0	1	265	45	220	59.78%	
Felsberg	3731	1683			13	905	0	9	2	894	234	660	53.77%	
Ferrera	3713	68			2	45	0	0	0	45	8	37	66.18%	
Fideris	3861	461			11	198	0	0	0	198	79	119	42.95%	
Filisur	3522	326			7	186	0	1	1	184	51	133	57.06%	
Fläsch	3951	521			7	271	0	2	3	266	89	177	52.02%	
Flerden	3662	159			3	87	0	2	0	85	29	56	54.72%	
Flims	3732	1804			36	947	0	7	5	935	134	801	52.49%	
Ftan	3761	381			17	189	0	0	3	186	82	104	49.61%	
Furna	3862	141			2	62	0	0	0	62	14	48	43.97%	
Fürstenau	3633	268			5	139	0	0	0	139	40	99	51.87%	
Grono	3832	583			14	333	0	9	2	322	169	153	57.12%	
Grüsch	3961	1413			21	736	0	3	7	726	202	524	52.09%	
Guarda	3742	118			6	61	0	1	0	60	17	43	51.69%	
Haldenstein	3941	713			15	354	0	4	1	349	114	235	49.65%	
Hinterrhein	3691	51			0	34	0	0	0	34	6	28	66.67%	
Ilanz	3574	1611			17	750	0	5	9	736	176	560	46.55%	
Jenaz	3863	854			12	412	0	6	0	406	105	301	48.24%	
Jenins	3952	657			23	385	0	2	4	379	114	265	58.60%	
Klosters-Serneus	3871	2610			66	1433	0	22	20	1391	358	1033	54.90%	
Küblis	3882	564			9	246	0	1	4	241	72	169	43.62%	
La Punt Chamues-ch	3785	477			5	218	0	1	0	217	61	156	45.70%	
Laax	3575	1049			12	541	0	2	4	535	102	433	51.57%	
Ladir	3576	77			0	35	0	0	0	35	10	25	45.45%	
Landquart	3955	5757			25	2738	0	19	44	2675	947	1728	47.56%	
Lantsch/Lenz	3513	378			5	165	0	1	2	162	28	134	43.65%	
Lavin	3743	174			9	96	0	1	0	95	42	53	55.17%	
Leggia	3833	102			3	45	0	2	0	43	26	17	44.12%	
Lohn	3707	39			0	18	0	1	0	17	8	9	46.15%	
Lostallo	3821	519			4	274	0	7	0	267	138	129	52.79%	
Lumnezia	3618	1795			46	728	0	7	1	720	157	563	40.56%	
Luven	3577	146			7	56	0	0	0	56	19	37	38.36%	
Luzein	3891	918			21	449	0	1	1	447	151	296	48.91%	
Madulain	3783	135			2	81	0	2	0	79	33	46	60.00%	
Maienfeld	3953	2017			57	1088	0	4	7	1077	253	824	53.94%	
Maladers	3926	429			20	181	0	2	0	179	58	121	42.19%	
Malans	3954	1710			21	994	0	10	6	978	294	684	58.13%	
Marmorera	3533	35			4	20	0	0	0	20	7	13	57.14%	
Masein	3663	349			16	200	0	1	4	195	76	119	57.31%	
Mathon	3708	45			5	23	0	0	0	23	6	17	51.11%	
Medel (Lucmagn)	3983	341			12	164	0	0	1	163	59	104	48.09%	
Mesocco	3822	914			20	412	0	7	0	405	218	187	45.08%	
Mon	3502	74			0	41	0	0	2	39	14	25	55.41%	
Mulegns	3534	27			1	10	0	0	0	10	1	9	37.04%	
Mundaun	3617	245			12	104	0	1	0	103	22	81	42.45%	
Mutten	3503	59			0	34	0	0	0	34	6	28	57.63%	
Nufenen	3693	108			6	53	0	0	0	53	13	40	49.07%	
Obersaxen	3612	638			11	310	0	0	5	305	75	230	48.59%	
Paspels	3634	352			8	207	0	0	0	207	75	132	58.81%	
Pigniu	3613	24			1	14	0	0	0	14	4	10	58.33%	
Pitasch	3578	94			6	53	0	0	0	53	22	31	56.38%	
Pontresina	3784	1196			18	614	0	3	0	611	128	483	51.34%	
Poschiavo	3561	2806			198	1453	0	6	5	1442	465	977	51.78%	
Pratval	3635	222			4	117	0	1	0	116	49	67	52.70%	
Rhäzüns	3723	870			10	401	0	0	3	398	123	275	46.09%	
Riein	3579	58			3	28	0	0	1	27	5	22	48.28%	
Riom-Parsonz	3536	245			5	91	0	0	0	91	29	62	37.14%	
Rodels	3636	223			1	123	0	1	0	122	44	78	55.16%	
Rongellen	3711	43			0	27	0	0	0	27	11	16	62.79%	
Rossa	3808	130			20	71	0	0	0	71	41	30	54.62%	
Rothenbrunnen	3637	221			5	113	0	3	2	108	41	67	51.13%	
Roveredo	3834	1619			16	1028	0	50	0	978	568	410	63.50%	
Rueun	3614	336			23	140	0	2	4	134	43	91	41.67%	
Ruschein	3580	269			2	162	0	1	0	161	41	120	60.22%	
Saas	3883	571			13	232	0	1	0	231	86	145	40.63%	
Safiental	3672	726			33	355	0	3	5	347	112	235	48.90%	
Sagogn	3581	511			18	262	0	2	0	260	79	181	51.27%	
Salouf	3538	171			2	87	0	5	1	81	16	65	50.88%	
Samedan	3786	1955			42	1053	0	5	6	1042	269	773	53.86%	
Samnaun	3752	528			12	223	0	2	1	220	78	142	42.23%	
San Vittore	3835	529			12	261	0	7	0	254	137	117	49.34%	
Santa Maria in Calanca	3810	95			9	52	0	5	0	47	32	15	54.74%	
Savognin	3539	727			23	336	0	2	5	329	79	250	46.22%	
S-chanf	3788	518			6	246	0	2	2	242	80	162	47.49%	
Scharans	3638	657			27	363	0	5	0	358	130	228	55.25%	
Schiers	3962	1800			36	841	0	3	13	825	300	525	46.72%	
Schluein	3582	391			8	158	0	0	0	158	33	125	40.41%	
Schmitten	3514	204			5	100	0	0	0	100	41	59	49.02%	
Schnaus	3583	78			1	38	0	0	0	38	16	22	48.72%	
Scuol	3762	1441			19	720	0	9	0	711	247	464	49.97%	
Seewis i.P.	3972	1018			35	430	0	0	5	425	151	274	42.24%	
Selma	3811	36			8	23	0	0	0	23	11	12	63.89%	
Sent	3763	733			66	343	0	2	3	338	134	204	46.79%	
Sevgein	3584	158			6	68	0	0	0	68	24	44	43.04%	
Siat	3615	146			5	63	0	1	0	62	19	43	43.15%	
Sils i.D.	3640	629			20	311	0	0	1	310	102	208	49.44%	
Sils i.E./Segl	3789	424			31	216	0	0	0	216	59	157	50.94%	
Silvaplana	3790	611			8	274	0	2	14	258	40	218	44.84%	
Soazza	3823	269			4	145	0	3	0	142	58	84	53.90%	
Splügen	3694	319			12	173	0	2	2	169	25	144	54.23%	
St. Antönien	3893	261			7	123	0	2	0	121	32	89	47.13%	
St. Martin	3598	29			3	12	0	0	0	12	2	10	41.38%	
St. Moritz	3787	2687			47	1693	0	16	30	1647	357	1290	63.01%	
Stierva	3504	99			6	52	0	2	0	50	13	37	52.53%	
Sufers	3695	104			0	66	0	0	0	66	11	55	63.46%	
Sumvitg	3985	1017			46	517	0	1	2	514	148	366	50.84%	
Sur	3540	62			2	29	0	0	0	29	10	19	46.77%	
Surava	3515	150			1	57	0	1	0	56	21	35	38.00%	
Susch	3744	158			6	77	0	0	0	77	23	54	48.73%	
Tamins	3733	890			20	465	0	5	0	460	150	310	52.25%	
Tarasp	3745	190			10	88	0	0	0	88	23	65	46.32%	
Thusis	3668	1737			26	764	0	12	8	744	230	514	43.98%	
Tiefencastel	3505	177			5	85	0	0	0	85	24	61	48.02%	
Tinizong-Rona	3541	236			9	111	0	0	2	109	33	76	47.03%	
Tomils	3671	564			11	292	0	3	0	289	124	165	51.77%	
Trimmis	3945	2256			16	1128	0	7	18	1103	315	788	50.00%	
Trin	3734	905			28	497	0	3	8	486	171	315	54.92%	
Trun	3987	1018			46	416	0	3	0	413	104	309	40.86%	
Tschappina	3669	112			1	70	0	1	0	69	20	49	62.50%	
Tschiertschen-Praden	3932	258			9	99	0	0	1	98	23	75	38.37%	
Tujetsch	3986	1047			21	545	0	5	6	534	151	383	52.05%	
Untervaz	3946	1690			25	775	0	3	3	769	236	533	45.86%	
Urmein	3670	113			5	68	0	0	0	68	8	60	60.18%	
Val Müstair	3847	1270			49	561	0	4	0	557	182	375	44.17%	
Vals	3603	733			31	335	0	3	0	332	82	250	45.70%	
Valsot	3764	717			33	239	0	0	4	235	92	143	33.33%	
Vaz/Obervaz	3506	1797			36	847	0	4	0	843	205	638	47.13%	
Verdabbio	3836	120			13	68	0	2	0	66	48	18	56.67%	
Waltensburg/Vuorz	3616	290			12	114	0	0	0	114	42	72	39.31%	
Zernez	3746	770			16	405	0	2	3	400	108	292	52.60%	
Zillis-Reischen	3712	276			0	137	0	0	0	137	43	94	49.64%	
Zizers	3947	2280			25	1000	0	3	5	992	265	727	43.86%	
Zuoz	3791	679			27	369	0	1	0	368	113	255	54.34%	

Kantonstotal:	 	136139	0	0	3101	68109	0	553	673	66883	20637	46246	50.03%	
