Votations fédérales du 24 novembre 2013Initiative populaire du 21 mars 2011 « 1:12 – Pour des salaires équitables »


;Agarn;Agettes;Albinen;Anniviers;Arbaz;Ardon;Ausserberg;Ayent;Bagnes;Baltschieder;Bellwald;Betten;Binn;Bister;Bitsch;Blatten;Blitzingen;Bourg-St-Pierre;Bovernier;Brig-Glis;Bürchen;Chalais;Chamoson;Champéry;Charrat;Chermignon;Chippis;Collombey-Muraz;Collonges;Conthey;Dorénaz;Eggerberg;Eischoll;Eisten;Embd;Ergisch;Ernen;Evionnaz;Evolène;Ferden;Fiesch;Fieschertal;Finhaut;Fully;Gampel-Bratsch;Grächen;Grafschaft;Grengiols;Grimisuat;Grône;Guttet-Feschel;Hérémence;Icogne;Inden;Isérables;Kippel;Lalden;Lax;Lens;Leuk;Leukerbad;Leytron;Liddes;Martigny;Martigny-Combe;Martisberg;Massongex;Miège;Mollens;Montana;Monthey;Mont-Noble;Mörel-Filet;Münster-Geschinen;Naters;Nendaz;Niedergesteln;Niederwald;Oberems;Obergoms;Orsières;Port-Valais;Randa;Randogne;Raron;Reckingen-Gluringen;Riddes;Ried-Brig;Riederalp;Saas-Almagell;Saas-Balen;Saas-Fee;Saas-Grund;Saillon;Salgesch;Salvan;Savièse;Saxon;Sembrancher;Sierre;Simplon;Sion;St. Niklaus;Stalden;Staldenried;Steg-Hohtenn;St-Gingolph;St-Léonard;St-Martin;St-Maurice;Suisse de l'étranger / Auslandschweizer;Täsch;Termen;Törbel;Trient;Troistorrents;Turtmann-Unterems;Unterbäch;Val-d'Illiez;Varen;Venthône;Vernayaz;Vérossaz;Vétroz;Vex;Veyras;Veysonnaz;Vionnaz;Visp;Visperterminen;Vollèges;Vouvry;Wiler;Zeneggen;Zermatt;Zwischbergen;Canton
Electeurs inscrits;593;225;201;1755;798;1506;496;2759;4429;906;299;317;113;25;642;231;55;140;604;9113;576;2232;2221;786;845;1821;763;4601;463;5048;538;280;382;177;258;166;434;797;1324;214;689;246;260;5079;1434;1035;155;356;2018;1510;333;1124;379;85;717;303;496;196;2282;2752;812;2006;537;9605;1589;19;1079;881;558;1425;9586;753;512;371;6927;4350;517;35;97;502;2123;2103;281;1526;1302;357;1625;1472;345;283;298;985;784;1453;974;945;4955;2725;620;9944;284;19731;1714;873;449;1178;623;1452;703;2576;4448;479;651;394;109;3021;866;335;1223;488;871;1087;476;3113;1169;1203;407;1517;4821;1093;1211;2268;412;204;2911;61;212264
Bulletins entrés;329;145;125;1089;459;880;314;1707;2492;465;181;142;51;16;364;124;28;103;407;4637;307;1358;1399;471;550;1190;466;2419;265;2864;352;159;210;97;134;128;218;477;1111;103;358;137;171;3034;946;436;90;150;1347;896;175;782;221;55;408;174;335;114;1485;1681;405;1333;369;5611;964;8;489;542;350;849;5280;481;292;194;3765;2532;302;18;47;280;1473;1114;166;903;692;184;1026;792;183;162;154;530;393;896;641;584;3156;1542;380;5608;156;11216;692;525;277;724;375;971;481;1606;1534;205;369;172;81;1856;511;161;764;285;608;681;311;1969;748;782;183;919;2511;641;763;1308;232;112;1436;45;122231
Bulletins blancs;2;3;0;9;3;5;2;16;33;3;1;0;1;0;0;0;0;1;4;21;1;13;12;8;8;6;2;16;4;24;7;1;0;0;0;3;0;6;8;0;0;0;2;44;8;2;0;0;12;6;1;1;0;0;4;2;1;7;14;8;4;8;5;70;7;0;5;5;3;6;59;6;1;0;20;23;1;0;1;3;16;13;1;9;3;0;17;7;1;0;0;6;5;11;2;4;29;16;7;65;3;114;3;3;0;3;4;3;1;17;20;3;4;1;0;19;11;0;9;0;10;11;2;22;7;8;2;15;14;3;13;15;2;0;5;0;1121
Bulletins nuls;6;0;0;1;1;25;0;41;32;6;3;1;0;0;0;1;0;1;6;62;4;23;19;3;4;8;8;30;1;37;1;0;0;0;0;1;5;6;17;1;0;1;1;33;8;3;0;0;16;9;5;7;5;0;5;1;0;5;15;22;5;17;1;32;9;0;2;0;6;0;81;3;1;1;22;31;0;0;0;5;19;14;0;7;14;4;12;8;2;1;0;2;0;9;8;2;10;32;6;81;0;141;7;0;0;0;6;10;4;12;55;3;0;0;0;54;2;0;15;2;6;0;4;35;28;8;1;8;47;5;4;20;5;0;33;0;1452
Bulletins valables;321;142;125;1079;455;850;312;1650;2427;456;177;141;50;16;364;123;28;101;397;4554;302;1322;1368;460;538;1176;456;2373;260;2803;344;158;210;97;134;124;213;465;1086;102;358;136;168;2957;930;431;90;150;1319;881;169;774;216;55;399;171;334;102;1456;1651;396;1308;363;5509;948;8;482;537;341;843;5140;472;290;193;3723;2478;301;18;46;272;1438;1087;165;887;675;180;997;777;180;161;154;522;388;876;631;578;3117;1494;367;5462;153;10961;682;522;277;721;365;958;476;1577;1459;199;365;171;81;1783;498;161;740;283;592;670;305;1912;713;766;180;896;2450;633;746;1273;225;112;1398;45;119658

Participation (%);55.48;64.44;62.19;62.05;57.52;58.43;63.31;61.87;56.27;51.32;60.54;44.79;45.13;64.00;56.70;53.68;50.91;73.57;67.38;50.88;53.30;60.84;62.99;59.92;65.09;65.35;61.07;52.58;57.24;56.74;65.43;56.79;54.97;54.80;51.94;77.11;50.23;59.85;83.91;48.13;51.96;55.69;65.77;59.74;65.97;42.13;58.06;42.13;66.75;59.34;52.55;69.57;58.31;64.71;56.90;57.43;67.54;58.16;65.07;61.08;49.88;66.45;68.72;58.42;60.67;42.11;45.32;61.52;62.72;59.58;55.08;63.88;57.03;52.29;54.35;58.21;58.41;51.43;48.45;55.78;69.38;52.97;59.07;59.17;53.15;51.54;63.14;53.80;53.04;57.24;51.68;53.81;50.13;61.67;65.81;61.80;63.69;56.59;61.29;56.40;54.93;56.84;40.37;60.14;61.69;61.46;60.19;66.87;68.42;62.34;34.49;42.80;56.68;43.65;74.31;61.44;59.01;48.06;62.47;58.40;69.80;62.65;65.34;63.25;63.99;65.00;44.96;60.58;52.08;58.65;63.01;57.67;56.31;54.90;49.33;73.77;57.58

Oui;103;54;47;298;143;259;93;631;647;171;69;44;12;12;137;36;20;30;133;1498;96;480;410;139;199;358;218;441;100;938;121;64;79;44;46;44;83;189;330;49;98;38;79;979;331;138;36;66;404;315;68;178;91;16;135;44;98;39;376;705;117;356;112;1768;335;3;140;201;106;241;1784;183;107;46;1317;772;104;5;27;83;357;408;62;273;221;64;287;266;62;57;46;129;132;284;211;203;970;573;117;1945;53;3594;215;201;87;251;163;263;113;569;678;77;127;48;19;562;170;49;236;87;196;247;89;593;226;265;63;257;780;244;212;428;58;49;280;18;39140
Non;218;88;78;781;312;591;219;1019;1780;285;108;97;38;4;227;87;8;71;264;3056;206;842;958;321;339;818;238;1932;160;1865;223;94;131;53;88;80;130;276;756;53;260;98;89;1978;599;293;54;84;915;566;101;596;125;39;264;127;236;63;1080;946;279;952;251;3741;613;5;342;336;235;602;3356;289;183;147;2406;1706;197;13;19;189;1081;679;103;614;454;116;710;511;118;104;108;393;256;592;420;375;2147;921;250;3517;100;7367;467;321;190;470;202;695;363;1008;781;122;238;123;62;1221;328;112;504;196;396;423;216;1319;487;501;117;639;1670;389;534;845;167;63;1118;27;80518
Oui %;32.09;38.03;37.60;27.62;31.43;30.47;29.81;38.24;26.66;37.50;38.98;31.21;24.00;75.00;37.64;29.27;71.43;29.70;33.50;32.89;31.79;36.31;29.97;30.22;36.99;30.44;47.81;18.58;38.46;33.46;35.17;40.51;37.62;45.36;34.33;35.48;38.97;40.65;30.39;48.04;27.37;27.94;47.02;33.11;35.59;32.02;40.00;44.00;30.63;35.75;40.24;23.00;42.13;29.09;33.83;25.73;29.34;38.24;25.82;42.70;29.55;27.22;30.85;32.09;35.34;37.50;29.05;37.43;31.09;28.59;34.71;38.77;36.90;23.83;35.37;31.15;34.55;27.78;58.70;30.51;24.83;37.53;37.58;30.78;32.74;35.56;28.79;34.23;34.44;35.40;29.87;24.71;34.02;32.42;33.44;35.12;31.12;38.35;31.88;35.61;34.64;32.79;31.52;38.51;31.41;34.81;44.66;27.45;23.74;36.08;46.47;38.69;34.79;28.07;23.46;31.52;34.14;30.43;31.89;30.74;33.11;36.87;29.18;31.01;31.70;34.60;35.00;28.68;31.84;38.55;28.42;33.62;25.78;43.75;20.03;40.00;32.71
Non %;67.91;61.97;62.40;72.38;68.57;69.53;70.19;61.76;73.34;62.50;61.02;68.79;76.00;25.00;62.36;70.73;28.57;70.30;66.50;67.11;68.21;63.69;70.03;69.78;63.01;69.56;52.19;81.42;61.54;66.54;64.83;59.49;62.38;54.64;65.67;64.52;61.03;59.35;69.61;51.96;72.63;72.06;52.98;66.89;64.41;67.98;60.00;56.00;69.37;64.25;59.76;77.00;57.87;70.91;66.17;74.27;70.66;61.76;74.18;57.30;70.45;72.78;69.15;67.91;64.66;62.50;70.95;62.57;68.91;71.41;65.29;61.23;63.10;76.17;64.63;68.85;65.45;72.22;41.30;69.49;75.17;62.47;62.42;69.22;67.26;64.44;71.21;65.77;65.56;64.60;70.13;75.29;65.98;67.58;66.56;64.88;68.88;61.65;68.12;64.39;65.36;67.21;68.48;61.49;68.59;65.19;55.34;72.55;76.26;63.92;53.53;61.31;65.21;71.93;76.54;68.48;65.86;69.57;68.11;69.26;66.89;63.13;70.82;68.99;68.30;65.40;65.00;71.32;68.16;61.45;71.58;66.38;74.22;56.25;79.97;60.00;67.29


