Gemeinde;Ja Stimmen;Nein Stimmen;Ja-Anteil (%);Stimmberechtigte;Eingelegte Stimmzettel;Stimmbeteiligung (%)
Zürich Kreise 1 und 2;5787;9007;39.12;31067;15209;48.96
Zürich Kreis 3;6304;7153;46.85;27006;13830;51.21
Zürich Kreise 4 und 5;5273;4796;52.37;21919;10384;47.37
Zürich Kreis 6;4421;6055;42.2;18083;10749;59.44
Zürich Kreise 7 und 8;6213;12084;33.96;30349;18736;61.74
Zürich Kreis 9;5360;8219;39.47;28607;13894;48.57
Zürich Kreis 10;5428;7833;40.93;23025;13589;59.02
Zürich Kreis 11;6642;9954;40.02;35814;17033;47.56
Zürich Kreis 12;2450;3150;43.75;14306;5755;40.23
Winterthur Altstadt;3476;4558;43.27;14763;8229;55.74
Winterthur Oberwinterthur;2627;4346;37.67;13316;7088;53.23
Winterthur Seen;2437;4279;36.29;11736;6829;58.19
Winterthur Töss;1136;1414;44.55;5452;2599;47.67
Winterthur Veltheim;1645;1934;45.96;6273;3648;58.15
Winterthur Wülflingen;1767;2824;38.49;9159;4702;51.34
Winterthur Mattenbach;1718;1960;46.71;7330;3754;51.21
Adlikon;88;214;29.14;450;305;67.78
Adliswil;1701;3872;30.52;10382;5688;54.79
Aesch;109;415;20.8;811;532;65.6
Aeugst a.A.;229;604;27.49;1375;846;61.53
Affoltern a.A.;1189;2465;32.54;6962;3732;53.61
Altikon;97;186;34.28;476;284;59.66
Andelfingen;273;697;28.14;1471;995;67.64
Bachenbülach;321;914;25.99;2479;1263;50.95
Bachs;70;232;23.18;474;309;65.19
Bäretswil;629;1439;30.42;3600;2089;58.03
Bassersdorf;1065;2459;30.22;7053;3597;51
Bauma;593;1214;32.82;3001;1837;61.21
Benken;117;235;33.24;609;365;59.93
Berg a.I.;77;254;23.26;465;337;72.47
Bertschikon;131;346;27.46;820;486;59.27
Birmensdorf;587;1659;26.14;3898;2290;58.75
Bonstetten;702;1503;31.84;3582;2242;62.59
Boppelsen;145;416;25.85;891;569;63.86
Brütten;205;803;20.34;1542;1024;66.41
Bubikon;904;1951;31.66;4892;2892;59.12
Buch a.I.;119;282;29.68;664;407;61.3
Buchs;481;1329;26.57;3793;1857;48.96
Bülach;1803;3687;32.84;11435;5602;48.99
Dachsen;232;536;30.21;1318;775;58.8
Dägerlen;168;264;38.89;708;435;61.44
Dällikon;311;778;28.56;2225;1101;49.48
Dänikon;166;459;26.56;1152;637;55.3
Dättlikon;116;252;31.52;543;372;68.51
Dielsdorf;561;1204;31.78;3517;1796;51.07
Dietikon;1814;3696;32.92;12291;5633;45.83
Dietlikon;773;1737;30.8;4560;2558;56.1
Dinhard;204;474;30.09;1088;697;64.06
Dorf;77;197;28.1;456;279;61.18
Dübendorf;2220;5039;30.58;14676;7422;50.57
Dürnten;779;1833;29.82;4771;2658;55.71
Egg;922;2326;28.39;5530;3290;59.49
Eglisau;561;1272;30.61;3052;1876;61.47
Elgg;518;1075;32.52;2771;1626;58.68
Ellikon a.d.Th.;93;262;26.2;639;360;56.34
Elsau;438;969;31.13;2364;1432;60.58
Embrach;903;2037;30.71;5432;3014;55.49
Erlenbach;448;1809;19.85;3487;2299;65.93
